id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q105539926,Shakhboot Nahyan Al Nahyan,male,,,,,,
Q1059948,Khalifa bin Zayed Al Nahyan,male,1948-09-07,11,2022-05-13,11,Sheikh Khalifa.jpg,Khalifa bin Zayed Al Nahyan
Q107596056,Ahmad Belhoul Al Falasi,male,,,,,,Ahmad Belhoul Al Falasi
Q10781516,Shamsa bint Suhail Al Mazrouei,female,,7,,,,Shamsa bint Suhail Al Mazrouei
Q112039299,Salama bint Hamdan Al Nahyan,female,,,,,,Salama bint Hamdan Al Nahyan
Q12244819,Maktoum bin Mohammed Bin Rashid Al Maktoum,male,1982-11-13,11,,,Sheikh Maktoum.jpg,Maktoum bin Mohammed Al Maktoum
Q1368398,Saud bin Saqr al Qasimi,male,1956-02-10,11,,,Sheikh Saud in 2010.jpg,Saud bin Saqr Al Qasimi
Q1371101,Hamad bin Mohammed Al Sharqi,male,1949-02-22,11,,,,Hamad bin Mohammed Al Sharqi
Q1380993,Saqr bin Mohammad al-Qassimi,male,1918-04-09,11,2010-10-27,11,Sheikh Saqr of Ras al-Khaimah.jpg,Saqr bin Mohammed Al Qasimi
Q16733485,Noura Al Kaabi,female,1979-03-18,11,,,نورة الكعبي.jpg,Noura Al Kaabi
Q167846,Zayed bin Sultan Al Nahyan,male,1918-05-06,11,2004-11-02,11,Zayed bin Al Nahayan.jpg,Zayed bin Sultan Al Nahyan
Q1951896,Mohammed bin Zayed Al Nahyan,male,1961-03-11,11,,,Mohammed bin Zayed Al Nahyan - 2021 (51683733605) (cropped).jpg,Mohamed bin Zayed Al Nahyan
Q20740526,Abdul Rahman Mohammed Al Oweis,male,1967,9,,,AbdulRahman Bin Mohamed Al Owais.jpg,Abdul Rahman Mohammed Al Owais
Q215477,Maktoum bin Rashid Al Maktoum,male,1943-08-15,11,2006-01-04,11,Maktoum bin Rashid Al Maktoum.jpg,Maktoum bin Rashid Al Maktoum
Q2984620,Humaid bin Rashid Al Nuaimi,male,1931,9,,,GMC Hospital Ajman Inaugration.png,Humaid bin Rashid Al Nuaimi III
Q347571,Saud bin Rashid Al Mu'alla,male,1952-10-01,11,,,,Saud bin Rashid Al Mualla
Q4120127,Fatima bint Mubarak Al Ketbi,female,1943,9,,,,Fatima bint Mubarak Al Ketbi
Q556607,Mansour bin Zayed Al Nahyan,male,1970-11-20,11,,,Sheikh Mansour shaking the hand of Michael Spindelegger (crop).jpg,Mansour bin Zayed Al Nahyan
Q5679463,Hassa bint Mohammed bin Khalifa Al Nahyan,female,,,2018-01-28,11,,Hassa bint Mohammed Al Nahyan
Q57655,Mohammed bin Rashid Al Maktoum,male,1949-07-15,11,,,Mohamedu bin Rašidu Almaktūmu.jpg,Mohammed bin Rashid Al Maktoum
Q58301,Abdullah bin Zayed Al Nahyan,male,1972-04-30,11,,,Abdullah bin Zayed Al Nahyan in London - 2018 (29653209427) (cropped).jpg,Abdullah bin Zayed Al Nahyan
Q712839,Hamdan bin Rashid Al Maktoum,male,1945-12-25,11,2021-03-24,11,Sheikh Hamdan bin Rashid Al Maktoum.jpg,Hamdan bin Rashid Al Maktoum
Q7400024,Saif bin Zayed Al Nahyan,male,1968,9,,,Saif bin Zayed Al Nahyan.jpg,Saif bin Zayed Al Nahyan
Q754778,Sultan bin Mohamed Al-Qasimi,male,1939-07-02,11,,,"Empfang für Sheik Qasimi, Sharjah, im Kölner Rathaus-0198.jpg",Sultan bin Muhammad Al-Qasimi
Q8973536,Rashid III bin Ahmad Al Mu'alla,male,1930,9,2009-01-02,11,,Rashid bin Ahmad Al Mualla II
